Parowanie = 0.25; Alfa = 1; Beta = 2; Stala = 5; 
12;0.36;0.00;0.00;0.00;
13;2.16;0.02;2.30;4.00;
5;0.02;0.00;0.00;0.00;
6;0.19;0.00;0.00;0.00;
7;0.14;0.00;0.00;0.00;
8;0.07;0.00;0.00;0.00;
9;0.99;0.01;1.09;15.00;
10;1.20;0.00;0.00;0.00;
11;1.78;0.01;0.90;25.00;
12;2.24;0.01;1.06;40.00;
13;3.58;0.01;0.70;35.00;
17;5.80;0.06;6.49;5.00;
34;46.48;0.07;6.69;86.00;
65;485.56;0.12;11.79;216.80;
100;1295.65;0.13;12.81;4642.00;
171;5213.80;0.22;22.02;606.60;
14;4.23;0.05;5.12;170.00;
29;41.38;0.06;5.65;91.00;
100;1209.53;0.11;11.15;2373.80;
137;4066.32;0.07;7.12;4974.60;
150;4111.84;0.11;10.97;2867.00;
200;12154.31;0.13;13.00;3827.40;
Parowanie = 0.75; Alfa = 3; Beta = 2; Stala = 5; 
5;0.21;0.11;11.22;11.00;
6;0.04;0.00;0.00;0.00;
7;0.47;0.06;5.56;5.00;
8;0.67;0.09;8.70;10.00;
9;0.86;0.14;14.29;15.00;
10;1.12;0.17;16.98;36.00;
11;1.42;0.21;20.51;32.00;
12;1.78;0.10;9.60;17.00;
13;2.17;0.29;29.31;51.00;
5;0.21;0.17;17.50;35.00;
6;0.32;0.14;14.08;50.00;
7;0.47;0.07;6.90;40.00;
8;0.65;0.14;14.05;130.00;
9;0.86;0.02;2.18;30.00;
10;1.12;0.09;9.32;185.00;
11;1.39;0.09;9.01;250.00;
12;1.74;0.03;2.52;95.00;
13;2.15;0.04;4.31;215.00;
17;7.63;0.82;81.82;63.00;
34;33.92;0.77;76.98;990.00;
65;238.88;1.32;131.96;2426.80;
100;912.04;1.22;122.02;44208.80;
171;4677.86;1.72;171.67;4729.60;
14;2.67;0.69;69.00;2293.00;
29;19.71;0.83;82.86;1334.00;
100;932.86;1.00;100.30;21346.80;
137;2109.08;1.18;117.60;82148.60;
150;3731.05;1.21;121.24;31679.40;
200;7054.79;1.18;118.31;34826.40;
Parowanie = 0.75; Alfa = 3; Beta = 3; Stala = 5; 
5;0.21;0.03;3.06;3.00;
6;0.32;0.13;12.71;15.00;
7;0.46;0.11;11.11;10.00;
8;0.65;0.30;30.43;35.00;
9;0.86;0.33;33.33;35.00;
10;1.12;0.34;33.96;72.00;
11;1.42;0.49;48.72;76.00;
12;1.79;0.14;13.56;24.00;
13;2.18;0.28;27.59;48.00;
5;0.03;0.00;0.00;0.00;
6;0.32;0.10;9.86;35.00;
7;0.46;0.12;12.07;70.00;
8;0.64;0.01;1.08;10.00;
9;0.93;0.15;15.27;210.00;
10;1.12;0.02;2.02;40.00;
11;2.08;0.01;1.44;40.00;
12;2.98;0.06;5.98;225.00;
13;2.56;0.10;10.33;515.00;
17;6.97;0.36;36.36;28.00;
34;30.78;0.46;45.88;590.00;
