 Parowanie = 0.25; Alfa = 1; Beta = 2; Stala = 5;
8;0.26;0.00;0.00;0.00;
9;0.86;0.01;1.09;15.00;
10;1.99;0.01;0.50;10.00;
11;1.84;0.01;1.08;30.00;
12;2.63;0.01;0.80;30.00;
13;2.17;0.01;1.10;55.00;
17;9.14;0.17;16.88;13.00;
34;49.90;0.10;9.64;124.00;
65;387.70;0.10;9.70;178.40;
100;1554.80;0.13;12.67;4590.00;
171;6885.66;0.24;23.69;652.60;
14;3.99;0.03;2.65;88.00;
29;28.00;0.12;11.86;191.00;
100;1390.85;0.10;10.11;2152.20;
137;3820.22;0.10;10.14;7082.40;
150;4800.77;0.13;13.49;3526.20;
200;11273.60;0.15;14.95;4400.80;
Parowanie = 0.5; Alfa = 5; Beta = 5; Stala = 5; 
5;0.03;0.00;0.00;0.00;
6;0.07;0.00;0.00;0.00;
7;0.48;0.06;5.56;5.00;
8;0.08;0.00;0.00;0.00;
9;0.36;0.00;0.00;0.00;
10;0.25;0.00;0.00;0.00;
11;1.72;0.02;1.92;3.00;
12;0.55;0.00;0.00;0.00;
13;2.67;0.02;2.30;4.00;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.06;0.00;0.00;0.00;
8;0.65;0.01;1.08;10.00;
9;0.44;0.00;0.00;0.00;
10;1.57;0.01;0.76;15.00;
11;1.60;0.01;1.23;34.00;
12;2.31;0.01;1.06;40.00;
13;4.32;0.01;0.80;40.00;
17;8.57;0.09;9.09;7.00;
34;47.22;0.10;10.34;133.00;
65;361.61;0.11;10.80;198.60;
100;1471.66;0.12;12.23;4429.60;
171;5524.61;0.24;24.28;668.80;
14;3.79;0.05;5.24;174.00;
29;24.28;0.08;7.76;125.00;
100;1338.22;0.09;9.37;1994.80;
137;3799.73;0.11;10.98;7672.60;
150;4736.34;0.14;14.02;3664.40;
200;11927.47;0.14;13.75;4046.60;
Parowanie = 0.75; Alfa = 1; Beta = 2; Stala = 5; 
5;0.05;0.00;0.00;0.00;
6;0.10;0.00;0.00;0.00;
7;0.10;0.00;0.00;0.00;
8;0.08;0.00;0.00;0.00;
9;0.35;0.00;0.00;0.00;
